id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,Rood,Groen,Blauw,Geel,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date
159,Kennismaking met Psychologie,"Brein, gedragsbeinvloeding, ontwikkelingspsychologie, gespreksvoering en ontwikkelingsfasen.","In deze module leer je hoe je gedrag van jezelf en van anderen kunt begrijpen en beinvloeden. Je maakt kennis met de basistheorie van Psychologie. Aan bod komen onderwerpen die te maken hebben met cognitieve, biologische en ontwikkelingspsychologie.","In deze module leer je hoe je gedrag van jezelf en van anderen kunt begrijpen en beinvloeden. Je maakt kennis met de basistheorie van Psychologie. Aan bod komen onderwerpen die te maken hebben met cognitieve, biologische en ontwikkelingspsychologie.",15,Den Bosch,58,NLQF5,"A. Je beantwoordt vragen in een meerkeuze kennistoets waarin je laat zien dat je de basis van de psychologie kunt reproduceren en begrijpt. Je laat zien dat je gedrag van individuen en groepen in hun sociale omgeving kunt analyseren aan de hand van casuistiek. B. Je houdt een kort interview met een medestudent waarin je laat zien dat je 1. mbv literatuur ui de psychologie vragen kunt stellen in termen van alledaags gedrag om de beschermende en risicofactoren in kaart te brengen. 2. De communicatievaardigheden bezit om een interiew te houden met een volwassene, inclusief een professionele opening en afsluiting.",4.0,2.0,1.0,5.0,"['brein', 'gedragsbeinvloeding', 'ontwikkelingspsychologie', 'gespreksvoering', 'en', 'ontwikkelingsfasen']",0.54,319,1,79,2025-12-24
160,Learning and working abroad,"Internationaal, persoonlijke ontwikkeling, verpleegkunde","Studenten kiezen binnen de (stam) van de opleiding van Verpleegkunde steeds vaker voor een stage in het buitenland, waarbij zij de beroepsprestaties graag in een internationale stagecontext willen behalen. Binnen de opleiding verpleegkunde is het nodig om 2300 uren stage te lopen om de BIG registratie te behalen. Deze stage maakt het mogelijk om naast de verplichte stage uren een extra stage ervaring op te doen, waarbij meer focus en ruimte is voor persoonlijke ontwikkeling in de internationale context. Zou ook voor een student social work kunnen gelden (internationale stagecontext), fysiotherapie? ","Studenten kiezen binnen de (stam) van de opleiding van Verpleegkunde steeds vaker voor een stage in het buitenland, waarbij zij de beroepsprestaties graag in een internationale stagecontext willen behalen. Binnen de opleiding verpleegkunde is het nodig om 2300 uren stage te lopen om de BIG registratie te behalen. Deze stage maakt het mogelijk om naast de verplichte stage uren een extra stage ervaring op te doen, waarbij meer focus en ruimte is voor persoonlijke ontwikkeling in de internationale context. Zou ook voor een student social work kunnen gelden (internationale stagecontext), fysiotherapie? ",15,Den Bosch,58,NLQF5,De student toont professioneel gedrag conform de beroepscode bij laagcomplexe zorgvragers en collega's in de zorgsetting. ,5.0,3.0,1.0,1.0,"['internationaal', 'persoonlijke', 'ontwikkeling', 'verpleegkunde']",0.92,172,5,56,2025-12-20
161,Proactieve zorgplanning,"Proactieve zorgplanning, cocreatie, ziekenhuis","Het Jeroen Bosch ziekenhuis wil graag samen met de opleiding Verpleegkunde een module ontwikkelen, waarin de studenten de mogelijkheid krijgen om zich te verdiepen in de ziekenhuissetting. JBZ staat er open voor om hier een interdisciplinaire insteek voor te kiezen, zodat deze module bijvoorbeeld ook aantrekkelijk is voor andere opleidingen (denk aan social work). Proactieve zorgplanning is een verdiepend thema, waarbij ook kansen liggen om dit interdisciplinair aan te vliegen.","Het Jeroen Bosch ziekenhuis wil graag samen met de opleiding Verpleegkunde een module ontwikkelen, waarin de studenten de mogelijkheid krijgen om zich te verdiepen in de ziekenhuissetting. JBZ staat er open voor om hier een interdisciplinaire insteek voor te kiezen, zodat deze module bijvoorbeeld ook aantrekkelijk is voor andere opleidingen (denk aan social work). Proactieve zorgplanning is een verdiepend thema, waarbij ook kansen liggen om dit interdisciplinair aan te vliegen.",15,Den Bosch,59,NLQF5,"De student past pro actieve zorgplanning toe binnen het proces van het klinisch redeneren bij casuïstiek over zorgvragers, multidisciplinair,  in de ziekenhuissetting.",,,,,"['proactieve', 'zorgplanning', 'cocreatie', 'ziekenhuis']",0.78,217,5,55,2025-09-23
162,Rouw en verlies,"Rouw & verlies, palliatieve zorg & redeneren, trauma, culturele diversiteit","In deze module wordt stil gestaan bij rouw en verlies, vanuit diverse invalshoeken waaronder de palliatieve zorg. Thema's zoals oncologie kunnen hier een plaats krijgen (werkveld verpleegkunde vraagt om keuzemodule oncologie) en kunnen interdisciplinair uitgelicht worden, waarbij duidelijk wordt hoe de verschillende disciplines samen een bijdrage kunnen leveren in de palliatieve benaderingswijze. Maar ook vanuit het perspectief van verlies in algemene zin - na scheiding van ouders, vluchten uit je heimat, overlijden, lichamelijke functioneren, vriendschappen/relaties - gericht op volwassenen, maar ook op 0-25 jaar, waarin rouw een betekenis heeft voor de ontwikkeling. Vanuit het werkveld (verpleegkunde) ligt er een behoefte aan een module waarin aandacht is voor de zorg rondom oncologie.","In deze module wordt stil gestaan bij rouw en verlies, vanuit diverse invalshoeken waaronder de palliatieve zorg. Thema's zoals oncologie kunnen hier een plaats krijgen (werkveld verpleegkunde vraagt om keuzemodule oncologie) en kunnen interdisciplinair uitgelicht worden, waarbij duidelijk wordt hoe de verschillende disciplines samen een bijdrage kunnen leveren in de palliatieve benaderingswijze. Maar ook vanuit het perspectief van verlies in algemene zin - na scheiding van ouders, vluchten uit je heimat, overlijden, lichamelijke functioneren, vriendschappen/relaties - gericht op volwassenen, maar ook op 0-25 jaar, waarin rouw een betekenis heeft voor de ontwikkeling. Vanuit het werkveld (verpleegkunde) ligt er een behoefte aan een module waarin aandacht is voor de zorg rondom oncologie.",30,Den Bosch,58,NLQF6,"De student regisseert en voert (deels) zelfstandig en in samenwerkingsverband het palliatieve proces uit bij hoog/middencomplexe zorgvragers in de zorgsetting op basis van het proces van palliatief redeneren. De student begrijpt, analyseert en past complexe concepten en benaderingen van rouw en verlies toe in verschillende contexten, op individueel en groepsniveau. Kan interventies ontwerpen en implementeren om de veerkracht en het welzijn van individuen te bevorderen tijdens het rouwproces. De student reflecteert kritisch op eigen waarden en houdingen in relatie tot het begeleiden van anderen bij rouw en verlies. ",,,,,"['rouw', 'verlies', 'palliatieve', 'zorg', 'redeneren', 'trauma', 'culturele', 'diversiteit']",0.69,454,1,54,2025-10-25
163,Acuut complexe zorg,"Acute zorg, complexiteit, ziekenhuis, revalidatie","In deze module kunnen studenten zich verdiepen in de acuut, complexe zorg binnen het verpleegkundig vakgebied.","In deze module kunnen studenten zich verdiepen in de acuut, complexe zorg binnen het verpleegkundig vakgebied.",30,Den Bosch,58,NLQF6,"De student regisseert en voert (deels) zelfstandig en in samenwerkingsverband het verpleegkundige proces uit bij hoog/middencomplexe zorgvragers in de actue en complexe zorgsetting op basis van de beroepscode van verpleegkundigen en verzorgenden, geldende visie op verplegen en het proces van klinisch redeneren. ",,,,,"['acute', 'zorg', 'complexiteit', 'ziekenhuis', 'revalidatie']",0.4,178,5,38,2025-11-19
164,Kraam kind en jeugd,"Jeugdzorg, neonatologie, verloskunde, kindzorg","In deze module kunnen studenten zich verdiepen in de kraam, kind en jeugdzorg binnen het verpleegkundig vakgebied.","In deze module kunnen studenten zich verdiepen in de kraam, kind en jeugdzorg binnen het verpleegkundig vakgebied.",30,Den Bosch,58,NLQF6,"De student regisseert en voert (deels) zelfstandig en in samenwerkingsverband het verpleegkundige proces uit bij hoog/middencomplexe zorgvragers in de kraam, kind en jeugd zorgsetting op basis van de beroepscode van verpleegkundigen en verzorgenden, geldende visie op verplegen en het proces van klinisch redeneren. ",,,,,"['jeugdzorg', 'neonatologie', 'verloskunde', 'kindzorg']",0.4,493,5,39,2025-12-04
165,"Profiel specifieke modulen Welzijn & Samenleving, Jeugd, Zorg","Jeugdzorg, geestelijke gezondheidzorg, rechtvaardige democratische gemeenschappen ","Profiel specifieke modulen Welzijn & Samenleving, Jeugd, Zorg","Profiel specifieke modulen Welzijn & Samenleving, Jeugd, Zorg",15,Breda en Den Bosch,58,NLQF5,Nader te bepalen,,,,,"['jeugdzorg', 'geestelijke', 'gezondheidzorg', 'rechtvaardige', 'democratische', 'gemeenschappen']",0.34,170,5,76,2025-11-14
166,"Happy city, happy people design lab","vitale gemeenschappen, duurzaam gebouwde omgeving, innovatief, creatief, collectief, SDG gestuurd. Aandacht voor Positieve Gezondheid in de brede betekenis.","focus op de grote vraagstukken (SDG gestuurd) op concrete plekken in onze regio, dat vormt de agenda. Gezond en duurzaam samenleven, in een veilige omgeving, fysiek toegerust voor een divers samengestelde bevolking","focus op de grote vraagstukken (SDG gestuurd) op concrete plekken in onze regio, dat vormt de agenda. Gezond en duurzaam samenleven, in een veilige omgeving, fysiek toegerust voor een divers samengestelde bevolking",15,Den Bosch,58,NLQF5,Nader te bepalen,,,,,"['vitale', 'gemeenschappen', 'duurzaam', 'gebouwde', 'omgeving', 'innovatief', 'creatief', 'collectief', 'sdg', 'gestuurd', 'aandacht', 'voor', 'positieve', 'gezondheid', 'in', 'de', 'brede', 'betekenis']",0.86,77,3,37,2025-12-27
167,Building & Sustaining vital communities,"vitale gemeenschappen, duurzaam gebouwde omgeving, innovatief, creatief, collectief, SDG gestuurd","Je bedenkt en ontwerpt samen met relevante stakeholders voor een wijk/ buurt innovatieve oplossingsrichtingen voor een complex vraagstuk rond wonen, veilig leven, gezond leven, bestaansvoorwaarden, ecologische footprint, vanuit beleid & bestuur & welzijn icm built environment","Je bedenkt en ontwerpt samen met relevante stakeholders voor een wijk/ buurt innovatieve oplossingsrichtingen voor een complex vraagstuk rond wonen, veilig leven, gezond leven, bestaansvoorwaarden, ecologische footprint, vanuit beleid & bestuur & welzijn icm built environment",30,Den Bosch,58,NLQF6,Nader te bepalen,,,,,"['vitale', 'gemeenschappen', 'duurzaam', 'gebouwde', 'omgeving', 'innovatief', 'creatief', 'collectief', 'sdg', 'gestuurd']",0.69,298,4,66,2025-09-16
168,GGZ Agoog  ,"Herstel en krachtgericht werk, leven met psychische kwetsbaarheid, levensloop gerichte beschrijvende diagnostiek en begeleiding en ondersteuning","Je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld GGZ en verslavingszorg","Je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld GGZ en verslavingszorg",30,Den Bosch,58,NLQF6,Toetsvormen zijn afgeleide van beroepsprestaties van de GGZ-agoog.,,,,,"['herstel', 'en', 'krachtgericht', 'werk', 'leven', 'met', 'psychische', 'kwetsbaarheid', 'levensloop', 'gerichte', 'beschrijvende', 'diagnostiek', 'en', 'begeleiding', 'en', 'ondersteuning']",0.76,407,2,60,2025-09-08
169,Stevig staan in de Jeugdzorg,"Jeugdhulp en Jeugdbescherming, gezinnen onder druk, kinderen en met uitdagingen in de ontwikkeling, jongeren in ontwikkeling (preventie), pedagogische context versterken","Je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld jeugdzorg breed","Je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld jeugdzorg breed",30,Den Bosch,58,NLQF6,Toetsvormen zijn beroepsprestaties van een Jeugd- en Gezinsprofessional en ontwikkeld i.s.m. het jeugdwerkveld.,,,,,"['jeugdhulp', 'en', 'jeugdbescherming', 'gezinnen', 'onder', 'druk', 'kinderen', 'en', 'met', 'uitdagingen', 'in', 'de', 'ontwikkeling', 'jongeren', 'in', 'ontwikkeling', 'preventie', 'pedagogische', 'context', 'versterken']",0.31,286,3,68,2025-09-04
170,Werken in gedwongen kader,"Herstelgerichte benadering, transmuraal herstel, positionering en engagement in een complexe omgeving, macht en dwang, motivationele theorieen,  ","Je bent 'state of the art' toegerust in kennis, handelingsrepertoire en methodiek voor het werkveld gedwongen kader (PI/ Forensisch, reclassering, Raad)","Je bent 'state of the art' toegerust in kennis, handelingsrepertoire en methodiek voor het werkveld gedwongen kader (PI/ Forensisch, reclassering, Raad)",30,Den Bosch,58,NLQF6,Leeruitkomsten zijn afgestemd op landelijk netwerk WIGK,,,,,"['herstelgerichte', 'benadering', 'transmuraal', 'herstel', 'positionering', 'en', 'engagement', 'in', 'een', 'complexe', 'omgeving', 'macht', 'en', 'dwang', 'motivationele', 'theorieen']",0.93,313,5,33,2025-12-13
171,Technologie in zorg en welzijn,"Technologie, zorg, welzijn","Een belangrijk vraagstuk voor de hedendaagse professionals is ‘Hoe kunnen we mensen meer (of beter) laten meedoen in de maatschappij en minder afhankelijk laten zijn van professionals?’ Want één van de uitdagingen in zorg en welzijn is het tekort aan personeel én financiële middelen. 
Met behulp van technologie kunnen hierin stappen gemaakt worden. Maar zijn alle technologieën ook daadwerkelijk geschikt? De tool moet tenslotte niet het doel zijn. We denken na over ethische vraagstukken en hebben invloed op veranderprocessen. Aandacht voor Positieve Gezondheid in de brede betekenis. 
","Een belangrijk vraagstuk voor de hedendaagse professionals is ‘Hoe kunnen we mensen meer (of beter) laten meedoen in de maatschappij en minder afhankelijk laten zijn van professionals?’ Want één van de uitdagingen in zorg en welzijn is het tekort aan personeel én financiële middelen. 
Met behulp van technologie kunnen hierin stappen gemaakt worden. Maar zijn alle technologieën ook daadwerkelijk geschikt? De tool moet tenslotte niet het doel zijn. We denken na over ethische vraagstukken en hebben invloed op veranderprocessen. Aandacht voor Positieve Gezondheid in de brede betekenis. 
",30,Den Bosch,58,NLQF6,Nader te bepalen,,,,,"['technologie', 'zorg', 'welzijn']",0.84,413,1,34,2025-09-04
172,Zorg dichtbij,"Zorg op afstand, technologie, implementeren, zorg, veranderkunde",Met 'zorg op afstand' kan je met behulp van technologie zorg juist dichter bij de mensen thuis brengen. In deze praktijkgerichte module leer je hoe je een nieuwe werkwijze en technologie implementeert en hoe je zorgmedewerkers en patiënten mee kan nemen in deze verandering. ,Met 'zorg op afstand' kan je met behulp van technologie zorg juist dichter bij de mensen thuis brengen. In deze praktijkgerichte module leer je hoe je een nieuwe werkwijze en technologie implementeert en hoe je zorgmedewerkers en patiënten mee kan nemen in deze verandering. ,15,Breda,60,NLQF5,Je hebt ervaren wat er komt kijken bij het implementeren van een innovatie in de praktijk en hebt kennis van processen en technologieën voor het organiseren van ‘zorg op afstand’. ,,,,,"['zorg', 'op', 'afstand', 'technologie', 'implementeren', 'zorg', 'veranderkunde']",0.44,393,5,50,2025-10-26
173,Langer thuis in de wijk,"wijkgericht werken, eigen regie, zorg, welzijn, ouderen","In Nederland willen we mensen zo lang mogelijk, dus ook op hogere leeftijd of met een chronische aandoening of een beperking, thuis te laten wonen. Hoe kunnen we met behulp van slimme oplossingen en samenwerkingen ervoor zorgen dat mensen prettig en veilig in hun eigen omgeving kunnen blijven?","In Nederland willen we mensen zo lang mogelijk, dus ook op hogere leeftijd of met een chronische aandoening of een beperking, thuis te laten wonen. Hoe kunnen we met behulp van slimme oplossingen en samenwerkingen ervoor zorgen dat mensen prettig en veilig in hun eigen omgeving kunnen blijven?",15,Breda,60,NLQF5,"Je hebt een beeld van wijkgerichte zorg en ondersteuning, kent de bijbehorende stakeholders en infrastructuur en kan voorstellen doen om het systeem rondom de doelgroep te versterken en verbeteren. ",,,,,"['wijkgericht', 'werken', 'eigen', 'regie', 'zorg', 'welzijn', 'ouderen']",0.42,401,4,20,2025-09-25
174,Mensgericht ontwerpen,"Design thinking, service design, technolgie, UX-design, doelgroep",In zorg en welzijn hebben we te maken met een grote diversiteit aan zorgvragers én -verleners. Soms blijkt dat zorgtechnologieën (en diensten) nog beter afgestemd kunnen worden op de doelgroep. In deze module ga je een product of service (her)ontwerpen om daarmee de toegankelijkheid en gebruikservaring te verbeteren.,In zorg en welzijn hebben we te maken met een grote diversiteit aan zorgvragers én -verleners. Soms blijkt dat zorgtechnologieën (en diensten) nog beter afgestemd kunnen worden op de doelgroep. In deze module ga je een product of service (her)ontwerpen om daarmee de toegankelijkheid en gebruikservaring te verbeteren.,15,Breda,60,NLQF5,Je beheerst een aanpak en technieken om producten en diensten te (her)ontwerpen en daarmee mensgerichte zorg en ondersteuning te bevorderen. ,,,,,"['design', 'thinking', 'service', 'design', 'technolgie', 'uxdesign', 'doelgroep']",0.42,144,5,72,2025-11-06
175,Focus op jeugd,"Jeugd, hulpverlening",In deze module leer je hoe je methodisch kunt werken met jeugdigen en gezinnen. Op deze manier bereid je je voor op het werken met gezinnen die ondersteuning krijgen in de jeugdhulpverlening.,In deze module leer je hoe je methodisch kunt werken met jeugdigen en gezinnen. Op deze manier bereid je je voor op het werken met gezinnen die ondersteuning krijgen in de jeugdhulpverlening.,15,Breda en Den Bosch,61,NLQF5,Nader te bepalen,,,,,"['jeugd', 'hulpverlening']",0.5,204,1,73,2025-12-05
