id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date
159,kennismaking met psychologie,"brein, gedragsbeinvloeding, ontwikkelingspsychologie, gespreksvoering en ontwikkelingsfasen.","in deze module leer je hoe je gedrag van jezelf en van anderen kunt begrijpen en beinvloeden. je maakt kennis met de basistheorie van psychologie. aan bod komen onderwerpen die te maken hebben met cognitieve, biologische en ontwikkelingspsychologie.","in deze module leer je hoe je gedrag van jezelf en van anderen kunt begrijpen en beinvloeden. je maakt kennis met de basistheorie van psychologie. aan bod komen onderwerpen die te maken hebben met cognitieve, biologische en ontwikkelingspsychologie.",15,den bosch,58,nlqf5,"a. je beantwoordt vragen in een meerkeuze kennistoets waarin je laat zien dat je de basis van de psychologie kunt reproduceren en begrijpt. je laat zien dat je gedrag van individuen en groepen in hun sociale omgeving kunt analyseren aan de hand van casuistiek. b. je houdt een kort interview met een medestudent waarin je laat zien dat je 1. mbv literatuur ui de psychologie vragen kunt stellen in termen van alledaags gedrag om de beschermende en risicofactoren in kaart te brengen. 2. de communicatievaardigheden bezit om een interiew te houden met een volwassene, inclusief een professionele opening en afsluiting.","['brein', 'gedragsbeinvloeding', 'ontwikkelingspsychologie', 'gespreksvoering', 'en', 'ontwikkelingsfasen']",0.54,319,1,79,2025-12-24
160,learning and working abroad,"internationaal, persoonlijke ontwikkeling, verpleegkunde","studenten kiezen binnen de (stam) van de opleiding van verpleegkunde steeds vaker voor een stage in het buitenland, waarbij zij de beroepsprestaties graag in een internationale stagecontext willen behalen. binnen de opleiding verpleegkunde is het nodig om 2300 uren stage te lopen om de big registratie te behalen. deze stage maakt het mogelijk om naast de verplichte stage uren een extra stage ervaring op te doen, waarbij meer focus en ruimte is voor persoonlijke ontwikkeling in de internationale context. zou ook voor een student social work kunnen gelden (internationale stagecontext), fysiotherapie?","studenten kiezen binnen de (stam) van de opleiding van verpleegkunde steeds vaker voor een stage in het buitenland, waarbij zij de beroepsprestaties graag in een internationale stagecontext willen behalen. binnen de opleiding verpleegkunde is het nodig om 2300 uren stage te lopen om de big registratie te behalen. deze stage maakt het mogelijk om naast de verplichte stage uren een extra stage ervaring op te doen, waarbij meer focus en ruimte is voor persoonlijke ontwikkeling in de internationale context. zou ook voor een student social work kunnen gelden (internationale stagecontext), fysiotherapie?",15,den bosch,58,nlqf5,de student toont professioneel gedrag conform de beroepscode bij laagcomplexe zorgvragers en collega's in de zorgsetting.,"['internationaal', 'persoonlijke', 'ontwikkeling', 'verpleegkunde']",0.92,172,5,56,2025-12-20
161,proactieve zorgplanning,"proactieve zorgplanning, cocreatie, ziekenhuis","het jeroen bosch ziekenhuis wil graag samen met de opleiding verpleegkunde een module ontwikkelen, waarin de studenten de mogelijkheid krijgen om zich te verdiepen in de ziekenhuissetting. jbz staat er open voor om hier een interdisciplinaire insteek voor te kiezen, zodat deze module bijvoorbeeld ook aantrekkelijk is voor andere opleidingen (denk aan social work). proactieve zorgplanning is een verdiepend thema, waarbij ook kansen liggen om dit interdisciplinair aan te vliegen.","het jeroen bosch ziekenhuis wil graag samen met de opleiding verpleegkunde een module ontwikkelen, waarin de studenten de mogelijkheid krijgen om zich te verdiepen in de ziekenhuissetting. jbz staat er open voor om hier een interdisciplinaire insteek voor te kiezen, zodat deze module bijvoorbeeld ook aantrekkelijk is voor andere opleidingen (denk aan social work). proactieve zorgplanning is een verdiepend thema, waarbij ook kansen liggen om dit interdisciplinair aan te vliegen.",15,den bosch,59,nlqf5,"de student past pro actieve zorgplanning toe binnen het proces van het klinisch redeneren bij casuïstiek over zorgvragers, multidisciplinair,  in de ziekenhuissetting.","['proactieve', 'zorgplanning', 'cocreatie', 'ziekenhuis']",0.78,217,5,55,2025-09-23
162,rouw en verlies,"rouw & verlies, palliatieve zorg & redeneren, trauma, culturele diversiteit","in deze module wordt stil gestaan bij rouw en verlies, vanuit diverse invalshoeken waaronder de palliatieve zorg. thema's zoals oncologie kunnen hier een plaats krijgen (werkveld verpleegkunde vraagt om keuzemodule oncologie) en kunnen interdisciplinair uitgelicht worden, waarbij duidelijk wordt hoe de verschillende disciplines samen een bijdrage kunnen leveren in de palliatieve benaderingswijze. maar ook vanuit het perspectief van verlies in algemene zin - na scheiding van ouders, vluchten uit je heimat, overlijden, lichamelijke functioneren, vriendschappen/relaties - gericht op volwassenen, maar ook op 0-25 jaar, waarin rouw een betekenis heeft voor de ontwikkeling. vanuit het werkveld (verpleegkunde) ligt er een behoefte aan een module waarin aandacht is voor de zorg rondom oncologie.","in deze module wordt stil gestaan bij rouw en verlies, vanuit diverse invalshoeken waaronder de palliatieve zorg. thema's zoals oncologie kunnen hier een plaats krijgen (werkveld verpleegkunde vraagt om keuzemodule oncologie) en kunnen interdisciplinair uitgelicht worden, waarbij duidelijk wordt hoe de verschillende disciplines samen een bijdrage kunnen leveren in de palliatieve benaderingswijze. maar ook vanuit het perspectief van verlies in algemene zin - na scheiding van ouders, vluchten uit je heimat, overlijden, lichamelijke functioneren, vriendschappen/relaties - gericht op volwassenen, maar ook op 0-25 jaar, waarin rouw een betekenis heeft voor de ontwikkeling. vanuit het werkveld (verpleegkunde) ligt er een behoefte aan een module waarin aandacht is voor de zorg rondom oncologie.",30,den bosch,58,nlqf6,"de student regisseert en voert (deels) zelfstandig en in samenwerkingsverband het palliatieve proces uit bij hoog/middencomplexe zorgvragers in de zorgsetting op basis van het proces van palliatief redeneren. de student begrijpt, analyseert en past complexe concepten en benaderingen van rouw en verlies toe in verschillende contexten, op individueel en groepsniveau. kan interventies ontwerpen en implementeren om de veerkracht en het welzijn van individuen te bevorderen tijdens het rouwproces. de student reflecteert kritisch op eigen waarden en houdingen in relatie tot het begeleiden van anderen bij rouw en verlies.","['rouw', 'verlies', 'palliatieve', 'zorg', 'redeneren', 'trauma', 'culturele', 'diversiteit']",0.69,454,1,54,2025-10-25
163,acuut complexe zorg,"acute zorg, complexiteit, ziekenhuis, revalidatie","in deze module kunnen studenten zich verdiepen in de acuut, complexe zorg binnen het verpleegkundig vakgebied.","in deze module kunnen studenten zich verdiepen in de acuut, complexe zorg binnen het verpleegkundig vakgebied.",30,den bosch,58,nlqf6,"de student regisseert en voert (deels) zelfstandig en in samenwerkingsverband het verpleegkundige proces uit bij hoog/middencomplexe zorgvragers in de actue en complexe zorgsetting op basis van de beroepscode van verpleegkundigen en verzorgenden, geldende visie op verplegen en het proces van klinisch redeneren.","['acute', 'zorg', 'complexiteit', 'ziekenhuis', 'revalidatie']",0.4,178,5,38,2025-11-19
164,kraam kind en jeugd,"jeugdzorg, neonatologie, verloskunde, kindzorg","in deze module kunnen studenten zich verdiepen in de kraam, kind en jeugdzorg binnen het verpleegkundig vakgebied.","in deze module kunnen studenten zich verdiepen in de kraam, kind en jeugdzorg binnen het verpleegkundig vakgebied.",30,den bosch,58,nlqf6,"de student regisseert en voert (deels) zelfstandig en in samenwerkingsverband het verpleegkundige proces uit bij hoog/middencomplexe zorgvragers in de kraam, kind en jeugd zorgsetting op basis van de beroepscode van verpleegkundigen en verzorgenden, geldende visie op verplegen en het proces van klinisch redeneren.","['jeugdzorg', 'neonatologie', 'verloskunde', 'kindzorg']",0.4,493,5,39,2025-12-04
165,"profiel specifieke modulen welzijn & samenleving, jeugd, zorg","jeugdzorg, geestelijke gezondheidzorg, rechtvaardige democratische gemeenschappen","profiel specifieke modulen welzijn & samenleving, jeugd, zorg","profiel specifieke modulen welzijn & samenleving, jeugd, zorg",15,breda en den bosch,58,nlqf5,ntb,"['jeugdzorg', 'geestelijke', 'gezondheidzorg', 'rechtvaardige', 'democratische', 'gemeenschappen']",0.34,170,5,76,2025-11-14
166,"happy city, happy people design lab","vitale gemeenschappen, duurzaam gebouwde omgeving, innovatief, creatief, collectief, sdg gestuurd. aandacht voor positieve gezondheid in de brede betekenis.","focus op de grote vraagstukken (sdg gestuurd) op concrete plekken in onze regio, dat vormt de agenda. gezond en duurzaam samenleven, in een veilige omgeving, fysiek toegerust voor een divers samengestelde bevolking","focus op de grote vraagstukken (sdg gestuurd) op concrete plekken in onze regio, dat vormt de agenda. gezond en duurzaam samenleven, in een veilige omgeving, fysiek toegerust voor een divers samengestelde bevolking",15,den bosch,58,nlqf5,ntb,"['vitale', 'gemeenschappen', 'duurzaam', 'gebouwde', 'omgeving', 'innovatief', 'creatief', 'collectief', 'sdg', 'gestuurd', 'aandacht', 'voor', 'positieve', 'gezondheid', 'in', 'de', 'brede', 'betekenis']",0.86,77,3,37,2025-12-27
167,building & sustaining vital communities,"vitale gemeenschappen, duurzaam gebouwde omgeving, innovatief, creatief, collectief, sdg gestuurd","je bedenkt en ontwerpt samen met relevante stakeholders voor een wijk/ buurt innovatieve oplossingsrichtingen voor een complex vraagstuk rond wonen, veilig leven, gezond leven, bestaansvoorwaarden, ecologische footprint, vanuit beleid & bestuur & welzijn icm built environment","je bedenkt en ontwerpt samen met relevante stakeholders voor een wijk/ buurt innovatieve oplossingsrichtingen voor een complex vraagstuk rond wonen, veilig leven, gezond leven, bestaansvoorwaarden, ecologische footprint, vanuit beleid & bestuur & welzijn icm built environment",30,den bosch,58,nlqf6,ntb,"['vitale', 'gemeenschappen', 'duurzaam', 'gebouwde', 'omgeving', 'innovatief', 'creatief', 'collectief', 'sdg', 'gestuurd']",0.69,298,4,66,2025-09-16
168,ggz agoog,"herstel en krachtgericht werk, leven met psychische kwetsbaarheid, levensloop gerichte beschrijvende diagnostiek en begeleiding en ondersteuning","je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld ggz en verslavingszorg","je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld ggz en verslavingszorg",30,den bosch,58,nlqf6,toetsvormen zijn afgeleide van beroepsprestaties van de ggz-agoog.,"['herstel', 'en', 'krachtgericht', 'werk', 'leven', 'met', 'psychische', 'kwetsbaarheid', 'levensloop', 'gerichte', 'beschrijvende', 'diagnostiek', 'en', 'begeleiding', 'en', 'ondersteuning']",0.76,407,2,60,2025-09-08
