id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date,combined_text
159,kennis psycho,breine gedrag ontwik gespre ontwik,"in deze module leer je hoe je gedrag van jezelf en van anderen kunt begrijpen en beinvloeden. je maakt kennis met de basistheorie van psychologie. aan bod komen onderwerpen die te maken hebben met cognitieve, biologische en ontwikkelingspsychologie.","in deze module leer je hoe je gedrag van jezelf en van anderen kunt begrijpen en beinvloeden. je maakt kennis met de basistheorie van psychologie. aan bod komen onderwerpen die te maken hebben met cognitieve, biologische en ontwikkelingspsychologie.",15,bosch,58,nlqf5,"a. je beantwoordt vragen in een meerkeuze kennistoets waarin je laat zien dat je de basis van de psychologie kunt reproduceren en begrijpt. je laat zien dat je gedrag van individuen en groepen in hun sociale omgeving kunt analyseren aan de hand van casuistiek. b. je houdt een kort interview met een medestudent waarin je laat zien dat je 1. mbv literatuur ui de psychologie vragen kunt stellen in termen van alledaags gedrag om de beschermende en risicofactoren in kaart te brengen. 2. de communicatievaardigheden bezit om een interiew te houden met een volwassene, inclusief een professionele opening en afsluiting.",breine gedrag ontwik gespre ontwik,0.54,319,1,79,2025-12-24,kennis psycho breine gedrag ontwik gespre ontwik breine gedrag ontwik gespre ontwik bosch
160,learn work abroad,intern persoo ontwik verple,"studenten kiezen binnen de (stam) van de opleiding van verpleegkunde steeds vaker voor een stage in het buitenland, waarbij zij de beroepsprestaties graag in een internationale stagecontext willen behalen. binnen de opleiding verpleegkunde is het nodig om 2300 uren stage te lopen om de big registratie te behalen. deze stage maakt het mogelijk om naast de verplichte stage uren een extra stage ervaring op te doen, waarbij meer focus en ruimte is voor persoonlijke ontwikkeling in de internationale context. zou ook voor een student social work kunnen gelden (internationale stagecontext), fysiotherapie?","studenten kiezen binnen de (stam) van de opleiding van verpleegkunde steeds vaker voor een stage in het buitenland, waarbij zij de beroepsprestaties graag in een internationale stagecontext willen behalen. binnen de opleiding verpleegkunde is het nodig om 2300 uren stage te lopen om de big registratie te behalen. deze stage maakt het mogelijk om naast de verplichte stage uren een extra stage ervaring op te doen, waarbij meer focus en ruimte is voor persoonlijke ontwikkeling in de internationale context. zou ook voor een student social work kunnen gelden (internationale stagecontext), fysiotherapie?",15,bosch,58,nlqf5,de student toont professioneel gedrag conform de beroepscode bij laagcomplexe zorgvragers en collega's in de zorgsetting.,intern persoo ontwik verple,0.92,172,5,56,2025-12-20,learn work abroad intern persoo ontwik verple intern persoo ontwik verple bosch
161,proact zorgpl,proact zorgpl cocrea zieken,"het jeroen bosch ziekenhuis wil graag samen met de opleiding verpleegkunde een module ontwikkelen, waarin de studenten de mogelijkheid krijgen om zich te verdiepen in de ziekenhuissetting. jbz staat er open voor om hier een interdisciplinaire insteek voor te kiezen, zodat deze module bijvoorbeeld ook aantrekkelijk is voor andere opleidingen (denk aan social work). proactieve zorgplanning is een verdiepend thema, waarbij ook kansen liggen om dit interdisciplinair aan te vliegen.","het jeroen bosch ziekenhuis wil graag samen met de opleiding verpleegkunde een module ontwikkelen, waarin de studenten de mogelijkheid krijgen om zich te verdiepen in de ziekenhuissetting. jbz staat er open voor om hier een interdisciplinaire insteek voor te kiezen, zodat deze module bijvoorbeeld ook aantrekkelijk is voor andere opleidingen (denk aan social work). proactieve zorgplanning is een verdiepend thema, waarbij ook kansen liggen om dit interdisciplinair aan te vliegen.",15,bosch,59,nlqf5,"de student past pro actieve zorgplanning toe binnen het proces van het klinisch redeneren bij casuïstiek over zorgvragers, multidisciplinair,  in de ziekenhuissetting.",proact zorgpl cocrea zieken,0.78,217,5,55,2025-09-23,proact zorgpl proact zorgpl cocrea zieken proact zorgpl cocrea zieken bosch
162,rouw verlie,rouw verlie pallia zorg redene trauma cultur divers,"in deze module wordt stil gestaan bij rouw en verlies, vanuit diverse invalshoeken waaronder de palliatieve zorg. thema's zoals oncologie kunnen hier een plaats krijgen (werkveld verpleegkunde vraagt om keuzemodule oncologie) en kunnen interdisciplinair uitgelicht worden, waarbij duidelijk wordt hoe de verschillende disciplines samen een bijdrage kunnen leveren in de palliatieve benaderingswijze. maar ook vanuit het perspectief van verlies in algemene zin - na scheiding van ouders, vluchten uit je heimat, overlijden, lichamelijke functioneren, vriendschappen/relaties - gericht op volwassenen, maar ook op 0-25 jaar, waarin rouw een betekenis heeft voor de ontwikkeling. vanuit het werkveld (verpleegkunde) ligt er een behoefte aan een module waarin aandacht is voor de zorg rondom oncologie.","in deze module wordt stil gestaan bij rouw en verlies, vanuit diverse invalshoeken waaronder de palliatieve zorg. thema's zoals oncologie kunnen hier een plaats krijgen (werkveld verpleegkunde vraagt om keuzemodule oncologie) en kunnen interdisciplinair uitgelicht worden, waarbij duidelijk wordt hoe de verschillende disciplines samen een bijdrage kunnen leveren in de palliatieve benaderingswijze. maar ook vanuit het perspectief van verlies in algemene zin - na scheiding van ouders, vluchten uit je heimat, overlijden, lichamelijke functioneren, vriendschappen/relaties - gericht op volwassenen, maar ook op 0-25 jaar, waarin rouw een betekenis heeft voor de ontwikkeling. vanuit het werkveld (verpleegkunde) ligt er een behoefte aan een module waarin aandacht is voor de zorg rondom oncologie.",30,bosch,58,nlqf6,"de student regisseert en voert (deels) zelfstandig en in samenwerkingsverband het palliatieve proces uit bij hoog/middencomplexe zorgvragers in de zorgsetting op basis van het proces van palliatief redeneren. de student begrijpt, analyseert en past complexe concepten en benaderingen van rouw en verlies toe in verschillende contexten, op individueel en groepsniveau. kan interventies ontwerpen en implementeren om de veerkracht en het welzijn van individuen te bevorderen tijdens het rouwproces. de student reflecteert kritisch op eigen waarden en houdingen in relatie tot het begeleiden van anderen bij rouw en verlies.",rouw verlie pallia zorg redene trauma cultur divers,0.69,454,1,54,2025-10-25,rouw verlie rouw verlie pallia zorg redene trauma cultur divers rouw verlie pallia zorg redene trauma cultur divers bosch
163,acuut comple zorg,acute zorg comple zieken revali,"in deze module kunnen studenten zich verdiepen in de acuut, complexe zorg binnen het verpleegkundig vakgebied.","in deze module kunnen studenten zich verdiepen in de acuut, complexe zorg binnen het verpleegkundig vakgebied.",30,bosch,58,nlqf6,"de student regisseert en voert (deels) zelfstandig en in samenwerkingsverband het verpleegkundige proces uit bij hoog/middencomplexe zorgvragers in de actue en complexe zorgsetting op basis van de beroepscode van verpleegkundigen en verzorgenden, geldende visie op verplegen en het proces van klinisch redeneren.",acute zorg comple zieken revali,0.4,178,5,38,2025-11-19,acuut comple zorg acute zorg comple zieken revali acute zorg comple zieken revali bosch
164,kraam kind jeugd,jeugdz neonat verlos kindzo,"in deze module kunnen studenten zich verdiepen in de kraam, kind en jeugdzorg binnen het verpleegkundig vakgebied.","in deze module kunnen studenten zich verdiepen in de kraam, kind en jeugdzorg binnen het verpleegkundig vakgebied.",30,bosch,58,nlqf6,"de student regisseert en voert (deels) zelfstandig en in samenwerkingsverband het verpleegkundige proces uit bij hoog/middencomplexe zorgvragers in de kraam, kind en jeugd zorgsetting op basis van de beroepscode van verpleegkundigen en verzorgenden, geldende visie op verplegen en het proces van klinisch redeneren.",jeugdz neonat verlos kindzo,0.4,493,5,39,2025-12-04,kraam kind jeugd jeugdz neonat verlos kindzo jeugdz neonat verlos kindzo bosch
165,profie specif modu welzij samenl jeugd zorgen,jeugdz geeste gezond rechtv democr gemeen,"profiel specifieke modulen welzijn & samenleving, jeugd, zorg","profiel specifieke modulen welzijn & samenleving, jeugd, zorg",15,breda bosch,58,nlqf5,ntb,jeugdz geeste gezond rechtv democr gemeen,0.34,170,5,76,2025-11-14,profie specif modu welzij samenl jeugd zorgen jeugdz geeste gezond rechtv democr gemeen jeugdz geeste gezond rechtv democr gemeen breda bosch
166,happy city happy people design lab,vitaal gemeen duurza bouwen omgevi innova creati collec sdg sturen aandac positi gezond breed beteke,"focus op de grote vraagstukken (sdg gestuurd) op concrete plekken in onze regio, dat vormt de agenda. gezond en duurzaam samenleven, in een veilige omgeving, fysiek toegerust voor een divers samengestelde bevolking","focus op de grote vraagstukken (sdg gestuurd) op concrete plekken in onze regio, dat vormt de agenda. gezond en duurzaam samenleven, in een veilige omgeving, fysiek toegerust voor een divers samengestelde bevolking",15,bosch,58,nlqf5,ntb,vitaal gemeen duurza bouwen omgevi innova creati collec sdg sturen aandac positi gezond breed beteke,0.86,77,3,37,2025-12-27,happy city happy people design lab vitaal gemeen duurza bouwen omgevi innova creati collec sdg sturen aandac positi gezond breed beteke vitaal gemeen duurza bouwen omgevi innova creati collec sdg sturen aandac positi gezond breed beteke bosch
167,build sustai vital commun,vitaal gemeen duurza bouwen omgevi innova creati collec sdg sturen,"je bedenkt en ontwerpt samen met relevante stakeholders voor een wijk/ buurt innovatieve oplossingsrichtingen voor een complex vraagstuk rond wonen, veilig leven, gezond leven, bestaansvoorwaarden, ecologische footprint, vanuit beleid & bestuur & welzijn icm built environment","je bedenkt en ontwerpt samen met relevante stakeholders voor een wijk/ buurt innovatieve oplossingsrichtingen voor een complex vraagstuk rond wonen, veilig leven, gezond leven, bestaansvoorwaarden, ecologische footprint, vanuit beleid & bestuur & welzijn icm built environment",30,bosch,58,nlqf6,ntb,vitaal gemeen duurza bouwen omgevi innova creati collec sdg sturen,0.69,298,4,66,2025-09-16,build sustai vital commun vitaal gemeen duurza bouwen omgevi innova creati collec sdg sturen vitaal gemeen duurza bouwen omgevi innova creati collec sdg sturen bosch
168,ggz agoog,herste kracht werk leven psychi kwetsb levens richte beschr diagno begele onders,"je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld ggz en verslavingszorg","je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld ggz en verslavingszorg",30,bosch,58,nlqf6,toetsvormen zijn afgeleide van beroepsprestaties van de ggz-agoog.,herste kracht werk leven psychi kwetsb levens richte beschr diagno begele onders,0.76,407,2,60,2025-09-08,ggz agoog herste kracht werk leven psychi kwetsb levens richte beschr diagno begele onders herste kracht werk leven psychi kwetsb levens richte beschr diagno begele onders bosch
